Index,Value,Extra
763,98.1,18.24903978
764,112.9,18.47894899
765,115.98,18.71648344
766,112.25,18.94296
767,109.6,19.16136716
768,113.2,19.38830428
769,112.799,19.61364156
770,117.7,19.85153383
771,115.64,20.08293382
772,114.82,20.31148913
773,117.98,20.54795006
774,111.4,20.76575634
775,114.22,20.9905174
776,118.21,21.22542623
777,123.5,21.473904
778,123.211,21.72068371
779,122.5,21.96467115
780,122.02,22.2064774
781,122.89,22.44991258
782,123.8,22.69491288
783,126.3,22.94595251
784,133.1,23.21457602
785,131.986,23.47932124
786,133.5,23.7472682
787,129.77,24.00412651
788,129,24.25793437
789,132.25,24.51984513
790,128.799,24.77166701
791,128.815,25.02257661
792,129.3,25.27383431
793,122.5,25.50585302
794,120.737,25.73273776
795,121.4,25.96072239
796,121.9,26.18970124
797,118.97,26.41009748
798,111,26.60784392
799,107.892,26.79619692
800,100.437,26.96377451
801,106.35,27.14723639
802,109,27.33791588
803,108.776,27.52737859
804,103.949,27.70417323
805,100,27.86955262
806,99.8,28.03310977
807,99.9,28.19672074
808,101.95,28.36491043
809,107.05,28.54576843
810,108.251,28.72904644
811,111.29,28.92014773
812,109.5,29.10581914
813,108.2,29.28729952
814,107.9,29.46723836
815,102.09,29.63015339
816,103.329,29.79503774
817,104,29.96106517
818,101.737,30.11998367
819,94.66,30.25867394
820,94.999,30.39773313
821,97.51,30.54256836
822,88.05,30.66165857
823,90.405,30.78635476
824,78.89,30.87847598
825,79.99,30.97305996
826,68.505,31.035343
827,68.749,31.09767232
828,76.5,31.18005055
829,76,31.2599945
830,76.72,31.34147319
831,88,31.45152112
832,88.979,31.56386371
833,93.9899,31.68957805
834,98.7,31.82725284
835,93.605,31.9478783
836,98.8903,32.08144518
837,96.71,32.20749685
838,98.5,32.33840087
839,90.0689,32.44652017
840,92,32.55838044
841,89.8214,32.66481802
842,91.998,32.77645837
843,91.6,32.88592256
844,95.5585,33.00499263
845,94.505,33.12022209
846,96.95,33.2414526
847,96.0201,33.35948145
848,94.4,33.47288294
849,98.6,33.59602435
850,101.489,33.72566598
851,107.95,33.87169372
852,106.213,34.00954198
853,104.856,34.14176634
854,104.501,34.27227806
855,104.95,34.40363677
856,105.12,34.53482934
857,106.72,34.66904124
858,106.75,34.80276434
859,106.75,34.93576358
860,103.07,35.05711113
861,102.8,35.17670838
862,103,35.29587222
863,105,35.41869707
864,106.99,35.54585274
865,109.555,35.67641744
866,112.562,35.8138032
867,109.995,35.94868708
868,108.994,36.08004717
869,112.75,36.23080348
870,113.38,36.37676045
871,119,36.53778018
872,121.21,36.70431127
873,123.3,36.87491006
874,122,37.03973563
875,118.51,37.19440303
876,119.603,37.3510313
877,122.111,37.51278167
878,120.07,37.66816228
879,126.48,37.84031759
880,122.62,38.00145972
881,122.35,38.16273307
882,133.09,38.35306178
883,135.14,38.54742911
884,138.63,38.74951743
885,135.61,38.94280764
886,136.53,39.13601565
887,126.76,39.301121
888,126.49,39.46514656
889,118.89,39.6074763
890,124.13,39.76340678
891,121.86,39.91192542
892,127.27,40.07399615
893,125.89,40.23137346
894,135.55,40.41423516
895,132.83,40.58803839
896,135.01,40.76672147
897,129.4,40.92887742
898,130.86,41.09414026
899,131.59,41.2595734
900,131.71,41.42360806
901,131.37,41.58666024
902,129.7,41.74407664
903,126.95,41.89350813
904,127.87,42.04476725
905,128.98,42.19849885
906,126.05,42.34313641
907,127.38,42.49041026
908,128.21,42.63903842
909,128.94,42.78862534
910,133.77,42.95066914
911,134.9,43.11484502
912,137.15,43.28430634
913,132.68,43.43947371
914,132.05,43.59194131
915,114.45,43.69559776
916,123.41,43.82347722
917,128.63,43.96535089
918,128.36,44.10760682
919,129.43,44.25203717
920,126.74,44.38797532
921,125.85,44.52006482
922,130.67,44.66477789
923,130.75,44.80896308
924,130.9,44.95310874
925,135.19,45.10847822
926,139.27,45.27386012
927,140.77,45.44241548
928,145.65,45.6235176
929,142.41,45.79448134
930,146.37,45.97590515
931,155.91,46.1824591
932,171.66,46.43133254
933,174.8,46.6874357
934,182.65,46.96399366
935,193.36,47.26860249
936,214.3,47.6312848
937,197.69,47.94901616
938,187.45,48.23717861
939,176.6,48.49322132
940,196.21,48.80192463
941,198.55,49.11490208
942,204.39,49.44162952
943,199.83,49.75623378
944,203.9,50.08087752
945,205.81,50.40887283
946,205.99,50.7355235
947,214.66,51.08460136
948,229.21,51.47155304
949,244.78,51.89941208
950,261.68,52.37174062
951,297.85,52.94137744
952,338.58,53.6200054
953,348.82,54.32427465
954,325.41,54.96173061
955,343.06,55.64527124
956,360.97,56.37532934
957,406.41,57.2263081
958,419.41,58.10840437
959,417.28,58.98158708
960,440.96,59.91688192
961,496.58,61.00059669
962,712.76,62.67159241
963,577.98,63.96905868
964,594.32,65.30522059
965,724.07,66.9918156
966,771.7,68.80311263
967,795.63,70.67398921
968,773.02,72.47794837
969,805.73,74.36578346
970,923.85,76.57007977
971,1003.38,78.98463926
972,1042.01,81.49708349
973,1129.37,84.24058873
974,1128.92,86.97474463
975,951.42,89.21515484
976,1046.4,91.70612135
977,1077.58,94.2747019
978,1152.73,97.04094316
979,1042.38,99.49668124
980,835.32,101.3792751
981,697.31,102.8788066
982,793.8,104.636806
983,892.32,106.6578824
984,989.07,108.9364144
985,882.78,110.9173092
986,874.98,112.8707394
987,899.85,114.8860514
988,875.29,116.8282218
989,880.33,118.7779237
990,706.37,120.2457764
991,678.2,121.630727
992,519.06,122.5761672
993,694.22,123.9965423
994,619.9,125.2091852
995,601.78,126.3680134
996,613.06,127.5531412
997,672.36,128.8959518
998,666.31,130.2170472
999,683.94,131.5816208
1000,763.28,133.158022
1001,737.98,134.6598116
1002,728.05,136.1289781
1003,741.35,137.6290353
1004,760.32,139.1760987
1005,754.97,140.7030805
1006,773.44,142.2747158
1007,802.85,143.9207957
1008,823.27,145.6169714
1009,858.55,147.4034911
1010,936.05,149.395118
1011,946.49,151.4079878
1012,795.99,153.0026533
1013,841.47,154.71477
1014,846.69,156.4350155
1015,867.32,158.2051768
1016,919.6,160.1121822
1017,860.19,161.8496404
1018,843.17,163.5344538
1019,833.12,165.1843488
1020,860.29,166.9003135
1021,834.49,168.5389685
1022,816.07,170.1214809
1023,839.66,171.7622916
1024,871.39,173.4806937
1025,869.65,175.1867543
1026,867.21,176.8791938
1027,845.46,178.5075789
1028,822.43,180.0655491
1029,796.24,181.5447108
1030,853.68,183.1752454
1031,884.6,184.8816291
1032,774.02,186.2772953
1033,809.96,187.7651323
1034,826.02,189.2890988
1035,818.43,190.7861559
1036,828.61,192.3075357
1037,832.9,193.832067
1038,824.08,195.3269591
1039,823.77,196.8146358
1040,829.96,198.3117403
1041,815.59,199.7609897
1042,783.2,201.1145256
1043,699.57,202.2312883
1044,671.46,203.2654398
1045,681.32,204.3199609
1046,683.5,205.3742407
1047,672.38,206.3960048
1048,651.08,207.3466225
1049,601.17,208.1566821
1050,660.9,209.1254965
1051,651.3,210.064604
1052,614.23,210.8975549
1053,627.16,211.7548632
1054,625.97,212.6039936
1055,623.09,213.4406989
1056,556.88,214.0908899
1057,574.24,214.7859726
1058,606.47,215.5649828
1059,606.04,216.337296
1060,540.24,216.9237931
1061,537.04,217.4984694
1062,581.65,218.1846659
1063,579.7,218.8585653
1064,549.92,219.4479135
1065,567.23,220.0802366
1066,562.56,220.6915206
1067,668.24,221.5764141
1068,666.24,222.4494907
1069,664.52,223.3107748
1070,664.31,224.1611391
1071,629.66,224.9051717
1072,616.31,225.6109828
1073,636.33,226.3609815
1074,627.95,227.0952204
1075,631.91,227.8290495
1076,633.62,228.5627819
1077,638.14,229.305385
1078,629.37,230.019777
1079,636.5,230.7485096
1080,630.92,231.4464239
1081,621.838,232.0949017
1082,613.896,232.7032048
1083,609.745,233.2790799
1084,588.294,233.7954497
1085,571.18,234.2767427
1086,565.764,234.7203962
1087,562.507,235.1461601
1088,585.026,235.6169046
1089,583.482,236.0516854
1090,580.257,236.4819905
1091,477.143,236.6156914
1092,501.713,236.8096209
1093,492.372,236.973309
1094,462.299,237.0225217
1095,457,237.0170378
1096,479.137,237.0237382
1097,436.444,236.91993
1098,445.664,236.8121301
1099,446.675,236.7049338
1100,463.397,236.5884355
1101,461.474,236.3966121
1102,447.613,236.0499251
1103,453.177,235.895774
1104,442.256,235.8208753
1105,363.71,235.5573724
1106,420.889,235.5091264
1107,421.461,235.4690243
1108,414.828,235.4297804
1109,458.373,235.545994
1110,522.185,235.7666922
1111,529.067,235.9599041
1112,495.798,236.0338567
1113,479.582,236.0392283
1114,501.751,236.1236365
1115,497.739,236.1727234
1116,495.455,236.1697302
1117,488.359,236.1163275
1118,490.825,236.1023227
1119,500.087,236.1252685
1120,461.705,236.065966
1121,457.242,235.9753508
1122,430.716,235.8107657
1123,439.983,235.644143
1124,446.89,235.5088068
1125,447.633,235.4360397
1126,457.364,235.4160605
1127,449.403,235.3948021
1128,438.517,235.3014911
1129,434.782,235.1878188
1130,433.364,235.0788843
